"DisNo.","Historic","Classification Key","Disaster Group","Disaster Subgroup","Disaster Type","Disaster Subtype","External IDs","Event Name","ISO","Country","Subregion","Region","Location","Origin","Associated Types","OFDA/BHA Response","Appeal","Declaration","AID Contribution ('000 US$)","Magnitude","Magnitude Scale","Latitude","Longitude","River Basin","Start Year","Start Month","Start Day","End Year","End Month","End Day","Total Deaths","No. Injured","No. Affected","No. Homeless","Total Affected","Reconstruction Costs ('000 US$)","Reconstruction Costs, Adjusted ('000 US$)","Insured Damage ('000 US$)","Insured Damage, Adjusted ('000 US$)","Total Damage ('000 US$)","Total Damage, Adjusted ('000 US$)","CPI","Admin Units","Entry Date","Last Update"
"2002-0740-ITA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Trentino-alto Adige province, Genova district (Liguria province), Milano, Mantova, Como, Varese districts (Lombardia province), Torino, Biella, Verbania districts (Piemonte province), Venezia district (Veneto province), Trieste, Pordedone districts (Friuli-venezia Giulia province), Bologna district (Emilia-romagna province).","Heavy rain","Slide (land, mud, snow, rock)","No","No","No",NA,29900,"Km2",NA,NA,"Noncello. Po, Lambo",2002,11,22,2002,12,3,2,NA,10000,NA,10000,NA,NA,20000,33879,350000,592887,59.0331440786142,NA,"2008-03-22","2023-09-25"
"2002-0882-ITA","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Palermo Province (Sicilia Region)",NA,NA,"No","No","No",NA,6,"Moment Magnitude",38.381,13.701,NA,2002,9,6,2002,9,6,2,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,846982,59.0331440786142,NA,"2008-05-08","2023-09-25"
"2002-9298-ITA","No","nat-cli-dro-dro","Natural","Climatological","Drought","Drought",NA,NA,"ITA","Italy","Southern Europe","Europe","Sicilia, Basilicata, Puglia, Sardegna provinces","Lack of rain",NA,"No","No","Yes",NA,NA,"Km2",NA,NA,NA,2002,5,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.0331440786142,NA,"2006-02-22","2023-09-25"
"2003-0043-ITA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Pescara, Chieti districts (Abruzzi province), Foggia district (Puglia province), Potenza district (Basilicata province), Agnone, Bagnoli del Trigno towns (Isernia district, Molisse province), Termoli, Lupara, Petacciato, Fossalto, Mafalda, San Giacomo degli Schiavoni,Santa Croce di Magliano, Tavenna, Toro et Trivento (Campobasso district, Molisse province)","Hevay rain","Slide (land, mud, snow, rock)","No","No","No",NA,28760,"Km2",NA,NA,NA,2003,1,25,2003,1,27,1,NA,1000,NA,1000,NA,NA,1e+05,165636,150000,248454,60.3732510662594,NA,"2004-03-09","2023-09-25"
"2003-0131-ITA","No","tec-tra-roa-roa","Technological","Transport","Road","Road",NA,NA,"ITA","Italy","Southern Europe","Europe","North - Between Cessalto and Noventa di Piave",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2003,3,13,2003,3,13,13,80,NA,NA,80,NA,NA,NA,NA,NA,NA,60.3732510662594,NA,"2003-08-13","2023-09-25"
"2003-0184-ITA","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Alessandria Province (Piemonte Region)",NA,"Slide (land, mud, snow, rock)","No","No","No",NA,5,"Moment Magnitude",44.792,8.892,NA,2003,4,11,2003,4,11,NA,2,230,NA,232,NA,NA,NA,NA,561352,929803,60.3732510662594,NA,"2004-01-14","2023-09-25"
"2003-0298-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","South Lampedusa Island",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2003,6,10,2003,6,10,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.3732510662594,NA,"2003-06-26","2023-09-25"
"2003-0391-ITA","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NA,NA,"ITA","Italy","Southern Europe","Europe","Milano, Varese districts (Lombardia province), Torino district (Piemonte province), Firenze district (Toscana province), Lecce district (Puglia province), Genova district (Liguria province)",NA,"Drought","No","No","No",NA,NA,"°C",NA,NA,NA,2003,7,16,2003,8,15,20089,NA,NA,NA,NA,NA,NA,NA,NA,4400000,7287996,60.3732510662594,NA,"2007-04-16","2023-09-25"
"2003-0433-ITA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Ugovizza village (Udine district, Friuli-venezia Giulia)","Torrential rains","Flood|Slide (land, mud, snow, rock)","No","No","Yes",NA,1100,"Km2",NA,NA,NA,2003,8,29,2003,8,31,2,NA,350,NA,350,NA,NA,NA,NA,655000,1084918,60.3732510662594,NA,"2005-12-15","2023-09-25"
"2004-0014-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Adriatic sea",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2004,1,10,2004,1,10,26,7,NA,NA,7,NA,NA,NA,NA,NA,NA,61.9895859343217,NA,"2004-01-13","2023-09-25"
"2004-0568-ITA","No","nat-met-sto-sev","Natural","Meteorological","Storm","Severe weather",NA,NA,"ITA","Italy","Southern Europe","Europe","Lampedusa Island (Agrigento district, Sicilia province), Toscana, Umbria, Molise provinces","Heavy rains","Flood|Slide (land, mud, snow, rock)","No","No","No",NA,NA,"Kph",NA,NA,NA,2004,11,13,2004,11,14,2,NA,200,NA,200,NA,NA,NA,NA,NA,NA,61.9895859343217,NA,"2004-11-15","2023-09-25"
"2005-0008-ITA","No","tec-tra-rai-rai","Technological","Transport","Rail","Rail",NA,NA,"ITA","Italy","Southern Europe","Europe","Crevalcore area (Near Bologne)",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2005,1,7,2005,1,7,14,80,NA,NA,80,NA,NA,NA,NA,NA,NA,64.0927402574269,NA,"2005-03-28","2023-09-25"
"2005-0421-ITA","No","tec-tra-air-air","Technological","Transport","Air","Air",NA,"ATR-72","ITA","Italy","Southern Europe","Europe","Palerme",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2005,8,6,2005,8,6,16,NA,23,NA,23,NA,NA,NA,NA,NA,NA,64.0927402574269,NA,"2005-08-08","2023-09-25"
"2005-0653-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Sicilia",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2005,11,18,2005,11,18,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.0927402574269,NA,"2005-11-28","2023-09-25"
"2005-0713-ITA","No","nat-met-ext-sev","Natural","Meteorological","Extreme temperature","Severe winter conditions",NA,NA,"ITA","Italy","Southern Europe","Europe","Emilia-romagna, Friuli-venezia Giulia, Liguria, Lombardia, Piemonte, Sicilia, Toscana, Trentino-alto Adige, Valle D'aosta, Veneto provinces",NA,"Snow/ice","No","No","No",NA,-21,"°C",NA,NA,NA,2005,12,27,2006,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.0927402574269,NA,"2007-01-17","2023-09-25"
"2006-0079-ITA","No","tec-tra-roa-roa","Technological","Transport","Road","Road",NA,NA,"ITA","Italy","Southern Europe","Europe","Rome",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2006,2,6,2006,2,7,12,9,NA,NA,9,NA,NA,NA,NA,NA,NA,66.1603305617979,NA,"2006-02-10","2023-09-25"
"2006-0124-ITA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NA,NA,"ITA","Italy","Southern Europe","Europe","Trentino-alto Adige province",NA,NA,"No","No","No",NA,NA,"Kph",NA,NA,NA,2006,3,NA,2006,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.1603305617979,NA,"2006-03-13","2023-09-25"
"2006-0219-ITA","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)",NA,NA,"ITA","Italy","Southern Europe","Europe","Ischia town (Napoli province, Campania region)",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2006,4,30,2006,4,30,4,9,150,NA,159,NA,NA,NA,NA,NA,NA,66.1603305617979,NA,"2006-05-02","2023-09-25"
"2006-0562-ITA","No","tec-tra-rai-rai","Technological","Transport","Rail","Rail",NA,NA,"ITA","Italy","Southern Europe","Europe","Rome",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2006,10,17,2006,10,17,1,100,NA,NA,100,NA,NA,NA,NA,NA,NA,66.1603305617979,NA,"2006-10-19","2023-09-25"
"2007-0202-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Near Lampedusa",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2007,6,17,2007,6,17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.0476738315874,NA,"2007-06-18","2023-09-25"
"2007-0235-ITA","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NA,NA,"ITA","Italy","Southern Europe","Europe","Calabria, Sicilia, Trentino-alto Adige provinces",NA,"Wildfire","No","No","No",NA,45,"°C",NA,NA,NA,2007,6,NA,2007,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.0476738315874,NA,"2008-08-04","2023-09-25"
"2007-0294-ITA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NA,NA,"ITA","Italy","Southern Europe","Europe","Abruzzi, Sardegna, Sicilia, Calabria provinces, Napoli district (Campania province),",NA,NA,"No","No","Yes",NA,NA,"Km2",NA,NA,NA,2007,7,NA,2007,8,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.0476738315874,NA,"2008-01-10","2023-09-25"
"2007-0544-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Near Syracuse (Sicilia)",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2007,11,4,2007,11,4,17,NA,7,NA,7,NA,NA,NA,NA,NA,NA,68.0476738315874,NA,"2007-11-07","2023-09-25"
"2008-0216-ITA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Savigliano, Demonte towns (Cuneo district, Piemonte province), Torino district (Piemonte province), Chambave towns (Aosta district, Valle d'aosta province)",NA,"Slide (land, mud, snow, rock)","No","No","Yes",NA,NA,"Km2",NA,NA,NA,2008,5,29,2008,5,30,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6600890345053,NA,"2008-06-09","2023-09-25"
"2008-0420-ITA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NA,NA,"ITA","Italy","Southern Europe","Europe","Milano, Como, Lecco, Sondrio districts (Lombardia province)",NA,"Slide (land, mud, snow, rock)","No","No","No",NA,NA,"Km2",NA,NA,NA,2008,7,12,2008,7,12,2,NA,300,NA,300,NA,NA,NA,NA,NA,NA,70.6600890345053,NA,"2008-09-17","2023-09-25"
"2008-0579-ITA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Roma district (Lazio province), Venezia district (Veneto province)","Heavy rain","Rain","No","No","Yes",NA,5425,"Km2",41.83,13.16,"Tiber",2008,12,11,2008,12,15,3,NA,NA,NA,NA,NA,NA,NA,NA,278000,393433,70.6600890345053,NA,"2009-03-18","2023-09-25"
"2009-0014-ITA","No","nat-met-sto-ext","Natural","Meteorological","Storm","Extra-tropical storm",NA,"Klaus","ITA","Italy","Southern Europe","Europe","Salerno district (Campania province), Cosenza district (Calabria province)",NA,"Slide (land, mud, snow, rock)","No","No","No",NA,NA,"Kph",NA,NA,NA,2009,1,24,2009,1,25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.4088617569341,NA,"2009-03-09","2023-09-25"
"2009-0136-ITA","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Aquila, Villa Sant'Angelo, Borgo di Castelnuovo Onna, Poggio Picenze, Tormintarte, Totani, Poggio di Roio, Massa d'Albe, Tempera, Paganica, Fossa towns (L'Aquila Province, Abruzzo region)",NA,"Slide (land, mud, snow, rock)","Yes","No","Yes",NA,6.3,"Moment Magnitude",42.334,13.334,NA,2009,4,6,2009,4,6,295,1000,NA,55000,56000,NA,NA,260000,369272,2500000,3550689,70.4088617569341,NA,"2010-08-16","2023-09-25"
"2009-0226-ITA","No","tec-tra-rai-rai","Technological","Transport","Rail","Rail",NA,NA,"ITA","Italy","Southern Europe","Europe","Viareggio (Toscana)",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2009,6,29,2009,6,29,29,17,NA,100,117,NA,NA,NA,NA,NA,NA,70.4088617569341,NA,"2010-03-19","2023-09-25"
"2009-0271-ITA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NA,NA,"ITA","Italy","Southern Europe","Europe","Sardegna, Sicilia provinces",NA,NA,"No","No","No",NA,NA,"Km2",NA,NA,NA,2009,7,20,2009,7,27,2,NA,NA,NA,NA,NA,NA,NA,NA,115000,163332,70.4088617569341,NA,"2010-03-07","2023-09-25"
"2009-0428-ITA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Giampilieri, Taormina, Scaletta Zanclea, Molino towns (Messina district, Sicilia town)","Heavy rains","Slide (land, mud, snow, rock)","No","No","Yes",NA,1227,"Km2",38.11,15.73,NA,2009,10,1,2009,10,6,35,140,NA,5000,5140,NA,NA,NA,NA,20000,28406,70.4088617569341,NA,"2010-07-02","2023-09-25"
"2009-0571-ITA","No","nat-met-ext-col","Natural","Meteorological","Extreme temperature","Cold wave",NA,NA,"ITA","Italy","Southern Europe","Europe","Veneto province, Milano district (Lombardia province), Friuli-venezia Giulia province",NA,NA,"No","No","No",NA,-16,"°C",NA,NA,NA,2009,12,21,2009,12,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.4088617569341,NA,"2010-01-05","2023-09-25"
"2010-0148-ITA","No","tec-tra-rai-rai","Technological","Transport","Rail","Rail",NA,NA,"ITA","Italy","Southern Europe","Europe","Merano region",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2010,4,12,2010,4,12,11,20,NA,NA,20,NA,NA,NA,NA,NA,NA,71.5635955751889,NA,"2010-04-12","2023-09-25"
"2010-0582-ITA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Salerno district (Campania provine), Venezia district (Veneto province)","Heavy rains",NA,"No","No","No",NA,18725,"Km2",45.13,11.14,"Sele",2010,11,8,2010,11,11,NA,NA,300,NA,300,NA,NA,NA,NA,NA,NA,71.5635955751889,NA,"2010-11-12","2023-09-25"
"2010-0615-ITA","No","nat-met-ext-col","Natural","Meteorological","Extreme temperature","Cold wave",NA,NA,"ITA","Italy","Southern Europe","Europe","Lombardia, Piemonte, Emilia-romagna, Veneto, Roma district (Lazio province), Bolzano district (Trentino-alto Adige province)",NA,NA,"No","No","No",NA,NA,"°C",NA,NA,NA,2010,12,1,2010,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.5635955751889,NA,"2010-12-02","2023-09-25"
"2010-0692-ITA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NA,NA,"ITA","Italy","Southern Europe","Europe","Veneto, Toscana, Liguria, Valle D'aosta, Lombardia, Friuli-venezia Giulia, Sicilia provinces",NA,"Flood|Slide (land, mud, snow, rock)","No","No","No",NA,NA,"Kph",NA,NA,NA,2010,10,31,2010,11,2,3,5,NA,NA,5,NA,NA,NA,NA,872000,1218497,71.5635955751889,NA,"2011-03-17","2023-09-25"
"2011-0119-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Near Lampedusa",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2011,3,15,2011,3,15,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.822750859736,NA,"2011-04-21","2023-09-25"
"2011-0128-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Near Lampedusa",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2011,4,6,2011,4,6,150,NA,48,NA,48,NA,NA,NA,NA,NA,NA,73.822750859736,NA,"2011-05-03","2023-09-25"
"2011-0329-ITA","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NA,NA,"ITA","Italy","Southern Europe","Europe","Milano district (Lombardia province), Torino district (Piemonte province), Trieste district (Friuli-venezia Giulia province), Verona district (Veneto province), Messina district (Sicilia province), Roma district (Lazio province), Napoli district (Campania province)",NA,NA,"No","No","No",NA,47,"°C",NA,NA,NA,2011,8,17,2011,8,24,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.822750859736,NA,"2011-08-25","2023-09-25"
"2011-0416-ITA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Cinque Terre, Borghetto Vara towns (La Spezia district, Liguria province), Aulla, Mullazo towns (Massa-carrara district, Toscana province)","Torrenial rain","Slide (land, mud, snow, rock)","No","No","Yes",NA,NA,"Km2",44.422,9.33,NA,2011,10,26,2011,10,26,10,NA,NA,NA,NA,NA,NA,14000,18964,545000,738255,73.822750859736,NA,"2011-11-22","2023-09-25"
"2011-0436-ITA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Genova district (Liguria province), Matera district (Basilicate province), Napoli district (Campania province); Guspini town (Cagliari district, Sardegna province); Alessandria, Torino districts (Piemonte province)","Heavy rains",NA,"No","No","No",NA,NA,"Km2",NA,NA,NA,2011,11,4,2011,11,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.822750859736,NA,"2011-11-22","2023-09-25"
"2011-0656-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Lampedusa",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2011,8,1,2011,8,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.822750859736,NA,"2012-04-12","2023-09-25"
"2011-0657-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Brindisi",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2011,11,26,2011,11,26,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.822750859736,NA,"2012-04-12","2023-09-25"
"2012-0008-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Cruise boat ""Concordia""","ITA","Italy","Southern Europe","Europe","Giglio Island",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2012,1,13,2012,1,14,32,60,NA,NA,60,NA,NA,515000,683474,NA,NA,75.3503857046957,NA,"2012-01-23","2023-09-25"
"2012-0019-ITA","No","nat-met-ext-col","Natural","Meteorological","Extreme temperature","Cold wave",NA,NA,"ITA","Italy","Southern Europe","Europe","Milano district (Lombardia province), Abruzzi, Emilia-romagna, Marche, Umbria, Toscana, Campania, Sicilia provinces",NA,NA,"No","No","Yes",NA,-25,"°C",NA,NA,NA,2012,2,NA,2012,2,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,132601,175979,75.3503857046957,NA,"2012-02-08","2023-09-25"
"2012-0121-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe",NA,NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2012,4,3,2012,4,3,10,NA,48,NA,48,NA,NA,NA,NA,NA,NA,75.3503857046957,NA,"2012-04-26","2023-09-25"
"2012-0142-ITA","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Finale Emilia, Mirandola towns (Modena Province, Emilia-romagna Region), Sant'Agostino area (Ferrara province, Emilia-romagna Region)",NA,NA,"No","No","No",NA,6,"Moment Magnitude",44.89,11.23,NA,2012,5,20,2012,5,20,7,50,11000,NA,11050,NA,NA,1300000,1725273,15800000,20968705,75.3503857046957,NA,"2012-07-06","2023-09-25"
"2012-0162-ITA","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Modena Province (Emilia-romagna Region)",NA,NA,"No","No","No",NA,5.8,"Moment Magnitude",44.851,11.086,NA,2012,5,29,2012,5,29,17,350,NA,14000,14350,NA,NA,1300000,1725273,NA,NA,75.3503857046957,NA,"2012-07-06","2023-09-25"
"2012-0368-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Near Lampedusa Isl.",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2012,9,6,2012,9,7,11,NA,56,NA,56,NA,NA,NA,NA,NA,NA,75.3503857046957,NA,"2012-09-17","2023-09-25"
"2012-0424-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Between Lampedusa Isl. and Lybian coast",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2012,10,29,2012,10,29,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3503857046957,NA,"2012-11-19","2023-09-25"
"2012-0466-ITA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Massa-carrara, Pisa, Livorno, Siena districts (Toscana province) Capalbio, Albinia, Orbetello towns (Grossetto district, Toscana province), Orvieto town (Terni district, Umbria province), Venezia district (Veneto province), Roma district (Lazio province)","Torrential rain",NA,"No","No","No",NA,NA,"Km2",43.1605,12.41,NA,2012,11,11,2012,11,18,4,NA,500,700,1200,NA,NA,NA,NA,15000,19907,75.3503857046957,NA,"2012-11-21","2023-09-25"
"2012-9290-ITA","No","nat-cli-dro-dro","Natural","Climatological","Drought","Drought",NA,NA,"ITA","Italy","Southern Europe","Europe","Abruzzi, Basilicata, Calabria, Campania, Emilia-romagna, Friuli-venezia Giulia, Lazio, Liguria, Lombardia, Marche, Molise, Piemonte, Puglia, Sardegna, Sicilia, Toscana, Trentino-alto Adige, Umbria, Valle D'aosta, Veneto provinces",NA,"Heat wave","No","No","No",NA,NA,"Km2",NA,NA,NA,2012,6,1,2012,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190000,1579289,75.3503857046957,NA,"2013-03-28","2023-09-25"
"2013-0321-ITA","No","tec-tra-roa-roa","Technological","Transport","Road","Road",NA,NA,"ITA","Italy","Southern Europe","Europe","Near Avellino (Naples)",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2013,7,28,2013,7,28,40,8,NA,NA,8,NA,NA,NA,NA,NA,NA,76.454145985163,NA,"2013-09-13","2023-09-25"
"2013-0441-ITA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Olbia, Arzachena cities (Sassari district, Sardegna province)","Cyclone Cleopatra",NA,"No","No","Yes",NA,15699,"Km2",40.3,9.01,NA,2013,11,18,2013,11,19,18,NA,2700,NA,2700,NA,NA,NA,NA,780000,1020219,76.454145985163,NA,"2014-04-04","2023-09-25"
"2013-0462-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Between Lampedusa and Malta",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2013,10,11,2013,10,11,50,NA,200,NA,200,NA,NA,NA,NA,NA,NA,76.454145985163,NA,"2013-11-22","2023-09-25"
"2013-0463-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Near Lampedusa Isl.",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2013,10,3,2013,10,3,366,NA,155,NA,155,NA,NA,NA,NA,NA,NA,76.454145985163,NA,"2013-11-22","2023-09-25"
"2013-0477-ITA","No","tec-mis-mis-mis","Technological","Miscellaneous accident","Miscellaneous accident (General)","Miscellaneous accident (General)",NA,"Drwning","ITA","Italy","Southern Europe","Europe","Near Scicli (REguse reion)",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2013,9,30,2013,9,30,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.454145985163,NA,"2013-11-25","2023-09-25"
"2014-0026-ITA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Bastiglia, Carpi, Medolla, Mirandoli cities (Modena district, Emilia-romagna province), Genova, La Spezia districts (Liguria province), Pisa, Volterra cities (Pisa district, Toscana province), Bologna district (Emilia-romagna province)","Heavy rains","Slide (land, mud, snow, rock)","No","No","No",NA,NA,"Km2",43.9958,7.1,"Secchia",2014,1,18,2014,1,31,2,1,600,1000,1601,NA,NA,NA,NA,120000,154451,77.6944061345599,NA,"2014-05-14","2023-09-25"
"2014-0045-ITA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Ponsacco, San Miniato towns (Pisa district, Toscane province); Roma, Ostie, Fiumicino towns (Roma district, Lazio province), Noto town (Siracusa district, Sicila province), Catania, Messina districts (Sicilia province), Monasterace town (Reggio Calabria district, Calabria province), Frosinone district (Lazio province).",NA,"Slide (land, mud, snow, rock)","No","No","No",NA,NA,"Km2",NA,NA,"Tibre, Arno",2014,1,31,2014,2,1,4,NA,80,NA,80,NA,NA,NA,NA,294000,378406,77.6944061345599,NA,"2014-02-05","2024-08-27"
"2014-0230-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Near Lampedusa",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2014,7,19,2014,7,19,29,2,NA,NA,2,NA,NA,NA,NA,NA,NA,77.6944061345599,NA,"2014-07-22","2023-09-25"
"2014-0252-ITA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Senigallia, Chiaravalle towns (Ancona district, Marche province)","Torrential rain",NA,"No","No","No",NA,11256,"Km2",NA,NA,"Triponzio, Misa",2014,5,2,2014,5,10,3,NA,8010,NA,8010,NA,NA,NA,NA,120000,154451,77.6944061345599,NA,"2014-07-25","2023-09-25"
"2014-0379-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Near Catana",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2014,7,2,2014,7,2,75,NA,27,NA,27,NA,NA,NA,NA,NA,NA,77.6944061345599,NA,"2014-10-09","2023-09-25"
